"No","Name","Length","Prefix","Url"
"122","122 - Code as Agent Harness.pdf","9899740","%PDF-","https://arxiv.org/pdf/2605.18747"
"123","123 - Planar Point Sets with Many Unit Distances.pdf","175156","%PDF-","https://cdn.openai.com/pdf/74c24085-19b0-4534-9c90-465b8e29ad73/unit-distance-proof.pdf"
"124","124 - MeMo - Memory as a Model.pdf","1088041","%PDF-","https://arxiv.org/pdf/2605.15156"
"125","125 - Agentic Discovery of Neural Architectures - AIRA-Compose and AIRA-Design.pdf","3082614","%PDF-","https://arxiv.org/pdf/2605.15871"
"126","126 - Agentic Systems as Boosting Weak Reasoning Models.pdf","643410","%PDF-","https://arxiv.org/pdf/2605.14163"
"127","127 - MetaCogAgent - A Metacognitive Multi-Agent LLM Framework with Self-Aware Task Delegation.pdf","168693","%PDF-","https://arxiv.org/pdf/2605.17292"
"128","128 - A Methodology for Selecting and Composing Runtime Architecture Patterns for Production LLM Agents.pdf","499267","%PDF-","https://arxiv.org/pdf/2605.20173"
"129","129 - NanoGPT-Bench - Evaluating Autonomous Research Agents on the NanoGPT Speedrun.pdf","805084","%PDF-","https://www.intology.ai/blog/nanogpt-bench"
"130","130 - General Agent - A Self-Evolving, Synthetic Agent Environment.pdf","3124235","%PDF-","https://www.primeintellect.ai/blog/general-agent"
"131","131 - Targeted Neuron Modulation via Contrastive Pair Search.pdf","317506","%PDF-","https://arxiv.org/pdf/2605.12290"
