"No","Name","Length","Prefix","CurlExit","Url"
"132","132 - Long Context Pre-Training with Lighthouse Attention.pdf","699740","%PDF-","0","https://arxiv.org/pdf/2605.06554"
"133","133 - Is Grep All You Need - How Agent Harnesses Reshape Agentic Search.pdf","956179","%PDF-","0","https://arxiv.org/pdf/2605.15184"
"134","134 - Arithmetic in the Wild - Llama uses Base-10 Addition to Reason About Cyclic Concepts.pdf","40812787","%PDF-","0","https://arxiv.org/pdf/2605.01148"
"135","135 - delta-mem - Efficient Online Memory for Large Language Models.pdf","1018895","%PDF-","0","https://arxiv.org/pdf/2605.12357"
"136","136 - Beyond Individual Intelligence - Surveying Collaboration, Failure Attribution, and Self-Evolution in LLM-based Multi-Agent Systems.pdf","12068508","%PDF-","0","https://arxiv.org/pdf/2605.14892"
"137","137 - LLMs Improving LLMs - Agentic Discovery for Test-Time Scaling.pdf","922034","%PDF-","0","https://arxiv.org/pdf/2605.08083"
"138","138 - AI co-mathematician - Accelerating mathematicians with agentic AI.pdf","858426","%PDF-","0","https://arxiv.org/pdf/2605.06651"
"139","139 - Harnessing Agentic Evolution.pdf","1450611","%PDF-","0","https://arxiv.org/pdf/2605.13821"
"140","140 - The Memory Curse - How Expanded Recall Erodes Cooperative Intent in LLM Agents.pdf","2815918","%PDF-","0","https://arxiv.org/pdf/2605.08060"
"141","141 - Efficient Pre-Training with Token Superposition.pdf","1846099","%PDF-","0","https://arxiv.org/pdf/2605.06546"
