"No","DAIRShortTitle","File","OfficialTitle","Arxiv","Bytes","Prefix","Url","SourcePage"
"188","Harness Handbook","188 - Harness Handbook - Making Evolving Agent Harnesses Readable, Navigable, and Editable.pdf","Harness Handbook: Making Evolving Agent Harnesses Readable,Navigable, and Editable","2607.13285","1526245","%PDF-","https://arxiv.org/pdf/2607.13285","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"189","From Memory to Skills","189 - From Memory to Skills - Evidence-Grounded Co-Evolution Governance for Long-Horizon LLM Agents.pdf","From Memory to Skills: Evidence-Grounded Co-Evolution Governance for Long-Horizon LLM Agents","2607.16621","596995","%PDF-","https://arxiv.org/pdf/2607.16621","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"190","PRO-LONG","190 - PRO-LONG - Programmatic Memory Enables Long-Horizon Reasoning.pdf","PRO-LONG: Programmatic Memory Enables Long-Horizon Reasoning","2607.20064","783078","%PDF-","https://arxiv.org/pdf/2607.20064","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"191","Global Workspace in LLMs","191 - Verbalizable Representations Form a Global Workspace in Language Models.pdf","Verbalizable Representations Form a Global Workspace in Language Models","2607.15495","12557639","%PDF-","https://arxiv.org/pdf/2607.15495","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"192","GAMUT","192 - Two-Level Meta-Rubrics for Evaluating Open-Ended Generation - GAMUT, a Benchmark for Factual Completeness.pdf","Two-Level Meta-Rubrics for Evaluating Open-Ended Generation: GAMUT, a Benchmark for Factual Completeness","2607.19322","9738625","%PDF-","https://arxiv.org/pdf/2607.19322","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"193","Progressive Disclosure","193 - Is Progressive Disclosure All You Need for Long-Context Agents.pdf","Is Progressive Disclosure All You Need for Long-Context Agents?","2607.17598","853265","%PDF-","https://arxiv.org/pdf/2607.17598","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"194","Structured Output Collapses Diversity","194 - Structured Output Collapses Answer Diversity Across 44 Language Models.pdf","Structured Output Collapses Answer Diversity Across 44 Language Models","2607.18476","389156","%PDF-","https://arxiv.org/pdf/2607.18476","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"195","Bad Memory in Agents","195 - Bad Memory - Evaluating Prompt Injection Risks from Memory in Agentic Systems.pdf","Bad Memory: Evaluating Prompt Injection Risks from Memory in Agentic Systems","2607.14611","552491","%PDF-","https://arxiv.org/pdf/2607.14611","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"196","Copying and 2D-RoPE","196 - Frontier Language Models Struggle to Copy - Text Can Be Better Viewed in 2D.pdf","Frontier Language Models Struggle to Copy: Text Can Be Better Viewed in 2D","2607.16072","2629819","%PDF-","https://arxiv.org/pdf/2607.16072","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
"197","RoboTTT","197 - RoboTTT - Context Scaling for Robot Policies.pdf","RoboTTT: Context Scaling for Robot Policies","2607.15275","11649048","%PDF-","https://arxiv.org/pdf/2607.15275","https://nlp.elvissaravia.com/p/top-ai-papers-of-the-week-878"
